Block Type,96fast,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\7500\experiments\Kronstad Lab\Chris\bna5 iron 6hours.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-02-03 13:35:34 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,sds7500fast,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,BLFAIL
A1,6h1,gapdh,UNKNOWN,SYBR,None,,,,22.74579811,22.74579811,,,,,,,,TRUE,0.654994771,TRUE,3,16,1,84.15389252,,,,N
A2,6h2,gapdh,UNKNOWN,SYBR,None,,,,22.93040085,22.93040085,,,,,,,,TRUE,0.654994771,TRUE,3,15,1,84.15389252,,,,N
A3,6h3,gapdh,UNKNOWN,SYBR,None,,,,22.37636948,22.37636948,,,,,,,,TRUE,0.654994771,TRUE,3,15,1,84.32487488,,,,N
A4,6h4,gapdh,UNKNOWN,SYBR,None,,,,20.93724823,20.93724823,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,84.32487488,,,,N
A5,6h5,gapdh,UNKNOWN,SYBR,None,,,,22.17341042,22.17341042,,,,,,,,TRUE,0.654994771,TRUE,3,15,1,84.32487488,,,,N
A6,6h6,gapdh,UNKNOWN,SYBR,None,,,,21.19574165,21.19574165,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,84.49585724,,,,N
A7,6h7,gapdh,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.654994771,TRUE,3,17,1,84.32487488,,,,Y
A8,6h8,gapdh,UNKNOWN,SYBR,None,,,,22.4115696,22.4115696,,,,,,,,TRUE,0.654994771,TRUE,3,15,1,84.32487488,,,,N
A9,6h9,gapdh,UNKNOWN,SYBR,None,,,,22.21756172,22.21756172,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,84.32487488,,,,N
B1,6h1,cft1,UNKNOWN,SYBR,None,1,,,21.45027542,21.45027542,,,-1.29552269,,,,0,TRUE,0.671519589,TRUE,3,14,1,81.4181366,,,,N
B2,6h2,cft1,UNKNOWN,SYBR,None,1.440798759,,,21.10800934,21.10800934,,,-1.82239151,,,,-0.52686882,TRUE,0.671519589,TRUE,3,15,1,81.93109131,,,,N
B3,6h3,cft1,UNKNOWN,SYBR,None,1.299879551,,,20.70246887,20.70246887,,,-1.673900604,,,,-0.378377914,TRUE,0.671519589,TRUE,3,14,1,81.93109131,,,,N
B4,6h4,cft1,UNKNOWN,SYBR,None,0.017963449,,,25.44051743,25.44051743,,,4.503269196,,,,5.798791885,TRUE,0.671519589,TRUE,3,18,1,81.76010895,,,,N
B5,6h5,cft1,UNKNOWN,SYBR,None,0.030565502,,,25.90983963,25.90983963,,,3.736429214,,,,5.031951904,TRUE,0.671519589,TRUE,3,19,1,81.93109131,,,,N
B6,6h6,cft1,UNKNOWN,SYBR,None,0.018533593,,,25.65393257,25.65393257,,,4.458190918,,,,5.753713608,TRUE,0.671519589,TRUE,3,18,1,81.93109131,,,,N
B7,6h7,cft1,UNKNOWN,SYBR,None,,,,22.50478935,22.50478935,,,,,,,,TRUE,0.671519589,TRUE,3,16,1,81.93109131,,,,N
B8,6h8,cft1,UNKNOWN,SYBR,None,0.652166486,,,21.73273468,21.73273468,,,-0.678834915,,,,0.616687775,TRUE,0.671519589,TRUE,3,15,1,81.76010895,,,,N
B9,6h9,cft1,UNKNOWN,SYBR,None,0.599850297,,,21.6593647,21.6593647,,,-0.558197021,,,,0.737325668,TRUE,0.671519589,TRUE,3,15,1,82.44404602,,,,N
C1,6h1,cfo1,UNKNOWN,SYBR,None,1,,,22.91960335,22.91960335,,,0.173805237,,,,0,TRUE,0.574136461,TRUE,3,17,1,83.81192017,,,,N
C2,6h2,cfo1,UNKNOWN,SYBR,None,1.209478736,,,22.82982063,22.82982063,,,-0.100580215,,,,-0.274385452,TRUE,0.574136461,TRUE,3,16,1,84.32487488,,,,N
C3,6h3,cfo1,UNKNOWN,SYBR,None,1.135259032,,,22.36715317,22.36715317,,,-0.009216309,,,,-0.183021545,TRUE,0.574136461,TRUE,3,15,1,84.49585724,,,,N
C4,6h4,cfo1,UNKNOWN,SYBR,None,0.034168053,,,25.98226166,25.98226166,,,5.045013428,,,,4.871208191,TRUE,0.574136461,TRUE,3,20,1,84.49585724,,,,N
C5,6h5,cfo1,UNKNOWN,SYBR,None,0.056352079,,,26.49660301,26.49660301,,,4.323192596,,,,4.14938736,TRUE,0.574136461,TRUE,3,20,1,84.6668396,,,,N
C6,6h6,cfo1,UNKNOWN,SYBR,None,0.033702675,,,26.26054001,26.26054001,,,5.064798355,,,,4.890993118,TRUE,0.574136461,TRUE,3,20,1,84.49585724,,,,N
C7,6h7,cfo1,UNKNOWN,SYBR,None,,,,23.44453621,23.44453621,,,,,,,,TRUE,0.574136461,TRUE,3,17,1,84.83782959,,,,N
C8,6h8,cfo1,UNKNOWN,SYBR,None,0.707006752,,,23.08557892,23.08557892,,,0.674009323,,,,0.500204086,TRUE,0.574136461,TRUE,3,17,1,84.6668396,,,,N
C9,6h9,cfo1,UNKNOWN,SYBR,None,0.645835996,,,23.02212715,23.02212715,,,0.80456543,,,,0.630760193,TRUE,0.574136461,TRUE,3,16,1,84.49585724,,,,N
D1,6b1,gapdh,UNKNOWN,SYBR,None,,,,22.11243439,22.11243439,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,84.49585724,,,,N
D2,6b2,gapdh,UNKNOWN,SYBR,None,,,,22.67050552,22.67050552,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,84.83782959,,,,N
D3,6b3,gapdh,UNKNOWN,SYBR,None,,,,22.71790123,22.71790123,,,,,,,,TRUE,0.654994771,TRUE,3,15,1,85.17979431,,,,N
D4,6b4,gapdh,UNKNOWN,SYBR,None,,,,20.11199379,20.11199379,,,,,,,,TRUE,0.654994771,TRUE,3,13,1,85.3507843,,,,N
D5,6b5,gapdh,UNKNOWN,SYBR,None,,,,19.41056061,19.41056061,,,,,,,,TRUE,0.654994771,TRUE,3,11,1,85.17979431,,,,N
D6,6b6,gapdh,UNKNOWN,SYBR,None,,,,19.98509216,19.98509216,,,,,,,,TRUE,0.654994771,TRUE,3,13,1,85.00881195,,,,N
D7,6b7,gapdh,UNKNOWN,SYBR,None,,,,21.66347313,21.66347313,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,85.00881195,,,,N
D8,6b8,gapdh,UNKNOWN,SYBR,None,,,,21.15917587,21.15917587,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,84.83782959,,,,N
D9,6b9,gapdh,UNKNOWN,SYBR,None,,,,20.93391418,20.93391418,,,,,,,,TRUE,0.654994771,TRUE,3,14,1,85.00881195,,,,N
E1,6b1,cft1,UNKNOWN,SYBR,None,2.678042412,,,19.39573288,19.39573288,,,-2.716701508,,,,-1.421178818,TRUE,0.671519589,TRUE,3,13,1,82.1020813,,,,N
E2,6b2,cft1,UNKNOWN,SYBR,None,2.409516335,,,20.10623932,20.10623932,,,-2.564266205,,,,-1.268743515,TRUE,0.671519589,TRUE,3,14,1,82.27306366,,,,N
E3,6b3,cft1,UNKNOWN,SYBR,None,2.476511955,,,20.11406898,20.11406898,,,-2.603832245,,,,-1.308309555,TRUE,0.671519589,TRUE,3,13,1,82.44404602,,,,N
E4,6b4,cft1,UNKNOWN,SYBR,None,0.013721754,,,25.00386238,25.00386238,,,4.891868591,,,,6.187391281,TRUE,0.671519589,TRUE,3,18,1,82.95700073,,,,N
E5,6b5,cft1,UNKNOWN,SYBR,None,0.027955895,,,23.27574158,23.27574158,,,3.865180969,,,,5.160703659,TRUE,0.671519589,TRUE,3,17,1,82.78601074,,,,N
E6,6b6,cft1,UNKNOWN,SYBR,None,0.010861381,,,25.21421814,25.21421814,,,5.229125977,,,,6.524648666,TRUE,0.671519589,TRUE,3,19,1,82.44404602,,,,N
E7,6b7,cft1,UNKNOWN,SYBR,None,1.695623636,,,19.60613441,19.60613441,,,-2.057338715,,,,-0.761816025,TRUE,0.671519589,TRUE,3,13,1,82.44404602,,,,N
E8,6b8,cft1,UNKNOWN,SYBR,None,2.076384068,,,18.80957985,18.80957985,,,-2.349596024,,,,-1.054073334,TRUE,0.671519589,TRUE,3,12,1,82.27306366,,,,N
E9,6b9,cft1,UNKNOWN,SYBR,None,1.930346966,,,18.68953133,18.68953133,,,-2.244382858,,,,-0.948860168,TRUE,0.671519589,TRUE,3,13,1,82.27306366,,,,N
F1,6b1,cfo1,UNKNOWN,SYBR,None,3.197855949,,,20.60913467,20.60913467,,,-1.503299713,,,,-1.67710495,TRUE,0.574136461,TRUE,3,13,1,84.15389252,,,,N
F2,6b2,cfo1,UNKNOWN,SYBR,None,2.962678671,,,21.2774086,21.2774086,,,-1.393096924,,,,-1.566902161,TRUE,0.574136461,TRUE,3,15,1,84.15389252,,,,N
F3,6b3,cfo1,UNKNOWN,SYBR,None,2.791216612,,,21.41081238,21.41081238,,,-1.307088852,,,,-1.480894089,TRUE,0.574136461,TRUE,3,15,1,84.49585724,,,,N
F4,6b4,cfo1,UNKNOWN,SYBR,None,0.020533279,,,25.89169121,25.89169121,,,5.779697418,,,,5.605892181,TRUE,0.574136461,TRUE,3,19,1,85.00881195,,,,N
F5,6b5,cfo1,UNKNOWN,SYBR,None,0.039044429,,,24.26310539,24.26310539,,,4.852544785,,,,4.678739548,TRUE,0.574136461,TRUE,3,18,1,85.69274902,,,,N
F6,6b6,cfo1,UNKNOWN,SYBR,None,0.015971176,,,26.1272831,26.1272831,,,6.142190933,,,,5.968385696,TRUE,0.574136461,TRUE,3,20,1,84.49585724,,,,N
F7,6b7,cfo1,UNKNOWN,SYBR,None,1.877336979,,,20.92859077,20.92859077,,,-0.734882355,,,,-0.908687592,TRUE,0.574136461,TRUE,3,14,1,84.6668396,,,,N
F8,6b8,cfo1,UNKNOWN,SYBR,None,1.814508796,,,20.47340202,20.47340202,,,-0.685773849,,,,-0.859579086,TRUE,0.574136461,TRUE,3,13,1,84.49585724,,,,N
F9,6b9,cfo1,UNKNOWN,SYBR,None,1.67107451,,,20.36694336,20.36694336,,,-0.566970825,,,,-0.740776062,TRUE,0.574136461,TRUE,3,14,1,84.49585724,,,,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,gapdh,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,6h1,,,,,,,,,,,,,,,,,,,,,,,,,,,